1.577785676771224921e+01,5.000000000000000000e+00
1.765891417338389857e+01,2.000000000000000000e+00
1.950146960169863775e+01,5.000000000000000000e+00
2.130300384827772930e+01,9.000000000000000000e+00
2.306143214605057778e+01,8.000000000000000000e+00
2.477509230044934441e+01,1.100000000000000000e+01
2.644272536968658116e+01,1.000000000000000000e+00
2.806345050726338641e+01,2.000000000000000000e+00
2.963673556039421086e+01,6.000000000000000000e+00
3.116236491400260888e+01,1.000000000000000000e+00
