6.859404530849801951e+00,2.000000000000000000e+00
8.333423040312435859e+00,4.000000000000000000e+00
9.796417622427151528e+00,5.000000000000000000e+00
1.124662742666029480e+01,6.000000000000000000e+00
1.268238761009630267e+01,9.000000000000000000e+00
1.410213876227540553e+01,1.200000000000000000e+01
1.550443452098112829e+01,3.000000000000000000e+00
1.688794734559076360e+01,3.000000000000000000e+00
1.825147246529295586e+01,3.000000000000000000e+00
1.959393006505388257e+01,3.000000000000000000e+00
